YEAR_MONTH,PRODUCT_ID,PRODUCT_NAME,TOTAL_PROFIT,RANK
2021-09,8300,Canada Goose Women's Expedition Parka,399.090000261,1
2021-09,20227,Joseph Abboud Men's 2 Button Side Vent Suit With Flat Front Pant,258.540000435,2
2021-09,8533,Women's Full Length Overcoat in Pure Cashmere,252.787000455,3
2021-10,23864,Men's Moncler Down Vest Tib,311.849999381,1
2021-10,20441,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,259.79100064,2
2021-10,19908,Kenneth Cole New York Men's 2 Piece Suit,252.713514416,3
2021-11,23654,The North Face Apex Bionic Soft Shell Jacket - Men's,539.993997686,1
2021-11,23648,The North Face Apex Bionic Jacket - Men's,503.873998703,2
2021-11,8778,Arc'teryx Moray Jacket - Women's,355.092000917,3
2021-12,2559,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,499.358997753,1
2021-12,8275,The North Face Apex Bionic Soft Shell Jacket - Women's,368.368000716,2
2021-12,19640,Lucky Brand Mens Men's Handknit Seed Stitch Sweater,337.560000233,3
2022-01,20171,Robert Graham Men's Minstrel Dinner Jacket,388.102000125,1
2022-01,13843,Sunglasses Gucci 4225/S 0ADJ White,285.060597065,2
2022-01,19909,Paul Fredrick 100% Wool Two-Button Plaid Sportcoat,252.864000563,3
2022-02,18340,Canada Goose Men's The Chateau Jacket,477.589998585,1
2022-02,8398,The North Face Denali Down Womens Jacket 2013,465.947999004,2
2022-02,24293,Carhartt Men's Down Kalkaska Snorkel Parka,335.344112814,3
2022-03,23654,The North Face Apex Bionic Soft Shell Jacket - Men's,539.993997686,1
2022-03,24428,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.104998453,2
2022-03,2557,Canada Goose Women's Mystique,469.499998726,3
2022-04,18062,The North Face Apex Bionic Soft Shell Jacket - Men's,511.097997995,1
2022-04,8409,Canada Goose Women's Chilliwack Bomber,407.269999441,2
2022-04,8778,Arc'teryx Moray Jacket - Women's,355.092000917,3
2022-05,24899,Nike Jordan Retro 11 Bred Bootie Socks,345.84899782,1
2022-05,24061,Men's Classic Sheepskin B-3 Bomber Jacket,324.274999402,2
2022-05,20441,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,259.79100064,3
2022-06,24341,Nobis Yatesy Parka,1136.19999513,1
2022-06,2796,ASCIS Cushion Low Socks (Pack of 3),529.157998432,2
2022-06,23546,Alpha Industries Rip Stop Short,516.483000923,3
2022-07,23951,The North Face Nuptse 2 Jacket Deep Water Blue Mens,535.478998628,1
2022-07,2796,ASCIS Cushion Low Socks (Pack of 3),529.157998432,2
2022-07,23646,Diesel Men's Lophophora Leather Jacket,489.409999097,3
2022-08,23654,The North Face Apex Bionic Soft Shell Jacket - Men's,539.993997686,1
2022-08,2793,adidas Women's adiFIT Slim Pant,527.351998557,2
2022-08,17094,The North Face Apex Bionic Soft Shell Jacket - Men's,378.356999785,3
