MONTH,PRODUCT_NAME,PROFIT
2021-09,Canada Goose Women's Expedition Parka,399.090000261
2021-09,Joseph Abboud Men's 2 Button Side Vent Suit With Flat Front Pant,258.540000435
2021-09,Women's Full Length Overcoat in Pure Cashmere,252.787000455
2021-10,Men's Moncler Down Vest Tib,311.849999381
2021-10,Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant,259.79100064
2021-10,Kenneth Cole New York Men's 2 Piece Suit,252.713514416
2021-11,The North Face Apex Bionic Soft Shell Jacket - Men's,539.993997686
2021-11,The North Face Apex Bionic Jacket - Men's,503.873998703
2021-11,Arc'teryx Moray Jacket - Women's,355.092000917
2021-12,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,499.358997753
2021-12,The North Face Apex Bionic Soft Shell Jacket - Women's,368.368000716
2021-12,Lucky Brand Mens Men's Handknit Seed Stitch Sweater,337.560000233
2022-01,Robert Graham Men's Minstrel Dinner Jacket,388.102000125
2022-01,Sunglasses Gucci 4225/S 0ADJ White,285.060597065
2022-01,Paul Fredrick 100% Wool Two-Button Plaid Sportcoat,252.864000563
2022-02,Canada Goose Men's The Chateau Jacket,477.589998585
2022-02,The North Face Denali Down Womens Jacket 2013,465.947999004
2022-02,Carhartt Men's Down Kalkaska Snorkel Parka,335.344112814
2022-03,The North Face Apex Bionic Soft Shell Jacket - Men's,539.993997686
2022-03,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.104998453
2022-03,Canada Goose Women's Mystique,469.499998726
2022-04,The North Face Apex Bionic Soft Shell Jacket - Men's,511.097997995
2022-04,Canada Goose Women's Chilliwack Bomber,407.269999441
2022-04,Arc'teryx Moray Jacket - Women's,355.092000917
2022-05,Nike Jordan Retro 11 Bred Bootie Socks,345.84899782
2022-05,Men's Classic Sheepskin B-3 Bomber Jacket,324.274999402
2022-05,True Religion Men's Ricky Straight Jean,260.010000167
2022-06,Nobis Yatesy Parka,1136.19999513
2022-06,ASCIS Cushion Low Socks (Pack of 3),529.157998432
2022-06,Alpha Industries Rip Stop Short,516.483000923
